target,source,p,Dingo_Ancient_Nullarbor,HighlandWildDog,Papua_Indonesia_518bp,se_Dingo_Ancient_Nullarbor,se_HighlandWildDog,se_Papua_Indonesia_518bp,z_Dingo_Ancient_Nullarbor,z_HighlandWildDog,z_Papua_Indonesia_518bp,num_sources,valid
Dingo_Ancient_Curracurrang_D16,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.00179393132011239,0.591436935311039,NA,0.408563064688961,0.0314503084474605,NA,0.0314503084474605,18.805441488724,NA,12.990749053272,2,FALSE
Dingo_Ancient_Nullarbor_1227,Dingo_Ancient_Nullarbor,0.0200698621015435,1,NA,NA,2.4169562905148e-13,NA,NA,4137435186248.26,NA,NA,1,TRUE
Dingo_Ancient_Nullarbor_276,Dingo_Ancient_Nullarbor,0.0110671577550684,1,NA,NA,2.4169562905148e-13,NA,NA,4137435186248.26,NA,NA,1,TRUE
Dingo_Ancient_Nullarbor_295,Dingo_Ancient_Nullarbor,0.00536266123057821,1,NA,NA,2.4169562905148e-13,NA,NA,4137435186248.26,NA,NA,1,FALSE
Dingo_Ancient_Nullarbor_372,Dingo_Ancient_Nullarbor,0.000272256256354934,1,NA,NA,2.4169562905148e-13,NA,NA,4137435186248.26,NA,NA,1,FALSE
Dingo_Ancient_Nullarbor_485,Dingo_Ancient_Nullarbor,0.000769837435456224,1,NA,NA,2.4169562905148e-13,NA,NA,4137435186248.26,NA,NA,1,FALSE
Dingo_Ancient_Nullarbor_615,Dingo_Ancient_Nullarbor,0.0740037796459121,1,NA,NA,2.4169562905148e-13,NA,NA,4137435186248.26,NA,NA,1,TRUE
Dingo_Ancient_Nullarbor_615,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.0358884042888672,0.988053831822435,NA,0.0119461681775655,0.0218073800217464,NA,0.0218073800217465,45.3082319305273,NA,0.547803916181252,2,TRUE
Dingo_Ancient_Nullarbor_639,Dingo_Ancient_Nullarbor,0.181907836289649,1,NA,NA,2.4169562905148e-13,NA,NA,4137435186248.26,NA,NA,1,TRUE
Dingo_Ancient_Nullarbor_639,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.0608871932921662,0.997766509562036,NA,0.0022334904379635,0.0225955390947365,NA,0.0225955390947365,44.1576766714302,NA,0.0988465213686265,2,TRUE
Dingo_Ancient_Nullarbor_762,Dingo_Ancient_Nullarbor,0.000535374573347339,1,NA,NA,2.4169562905148e-13,NA,NA,4137435186248.26,NA,NA,1,FALSE
Dingo_Ancient_Nullarbor_884,Dingo_Ancient_Nullarbor,0.000425508815291707,1,NA,NA,2.4169562905148e-13,NA,NA,4137435186248.26,NA,NA,1,FALSE
Dingo_Desert_Sandy,Dingo_Ancient_Nullarbor,0.0390557059694556,1,NA,NA,1.27959643369217e-13,NA,NA,7814963950115,NA,NA,1,TRUE
Dingo_Desert_Sandy,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.895582036758319,0.930565557083858,NA,0.0694344429161416,0.0270353748907208,NA,0.0270353748907209,34.4202941829096,NA,2.56828112045056,2,TRUE
Dingo_FraserIsland_D02,Dingo_Ancient_Nullarbor,7.75201769930864e-10,1,NA,NA,2.8434803975872e-13,NA,NA,3516816929170.81,NA,NA,1,FALSE
Dingo_FraserIsland_D02,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.100825811804643,0.792921211193148,NA,0.207078788806852,0.0306148458917002,NA,0.0306148458917001,25.899892294023,NA,6.76399905912941,2,TRUE
