"pat","wt","dof","chisq","p","f4rank","Dingo_Ancient_Nullarbor","HighlandWildDog","Papua_Indonesia_518bp","feasible","best","dofdiff","chisqdiff","p_nested","target","right","source"
"00",0,3,6.29170594129322,0.0982491675087878,1,1.00551371562796,NA,-0.00551371562796456,FALSE,NA,NA,NA,NA,"WA1142","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog","Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp"
"01",1,4,7.70988592080571,0.102802499982766,0,1,NA,NA,TRUE,TRUE,0,-528.943672990791,1,"WA1142","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog","Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp"
"10",1,4,536.653558911597,7.89659516162694e-115,0,NA,NA,1,TRUE,TRUE,NA,NA,NA,"WA1142","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog","Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp"
"0",0,5,18.0129025737131,0.00293027747415401,0,1,NA,NA,TRUE,NA,NA,NA,NA,"wdi0817","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog|Papua_Indonesia_518bp","Dingo_Ancient_Nullarbor"
"00",0,3,2.08835188561011,0.554272848290021,1,1.06660427795955,-0.0666042779595482,NA,FALSE,NA,NA,NA,NA,"wdi0817","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|Papua_Indonesia_518bp","Dingo_Ancient_Nullarbor|HighlandWildDog"
"01",1,4,3.59528475981427,0.463538736029458,0,1,NA,NA,TRUE,TRUE,0,-118.190938208597,1,"wdi0817","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|Papua_Indonesia_518bp","Dingo_Ancient_Nullarbor|HighlandWildDog"
"10",1,4,121.786222968412,2.21870730127045e-25,0,NA,1,NA,TRUE,TRUE,NA,NA,NA,"wdi0817","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|Papua_Indonesia_518bp","Dingo_Ancient_Nullarbor|HighlandWildDog"
"00",0,3,2.03899231085045,0.564353273940715,1,0.950370607639341,NA,0.0496293923606588,TRUE,NA,NA,NA,NA,"wdi0817","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog","Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp"
"01",1,4,6.75353772187883,0.149500115770113,0,1,NA,NA,TRUE,TRUE,0,-548.843199333564,1,"wdi0817","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog","Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp"
"10",1,4,555.596737055443,6.29494144529836e-119,0,NA,NA,1,TRUE,TRUE,NA,NA,NA,"wdi0817","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog","Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp"
