pop1,pop2,pop3,est,se,z,p,n
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,Dingo29,0.239036773140827,0.00218266992924163,109.515767793567,0,264133
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,Dingo30,0.237168010458026,0.00224455300665392,105.663804666206,0,246318
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,Dingo31,0.230519373503651,0.00214440074388532,107.498271561866,0,333729
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,Dingo32,0.230972837000738,0.00216161655399887,106.851900524841,0,329161
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,Dingo_Alpine_Cooinda,0.233402046587241,0.00203399619181033,114.750483568755,0,290337
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,Dingo_Alpine_D01,0.236577839378644,0.00211077126927291,112.081229654096,0,305912
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,Dingo_Alpine_D05,0.207001211329332,0.00217394426692065,95.2191895988877,0,367365
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,Dingo_Alpine_D07,0.236724329601719,0.00209999331219374,112.726230234718,0,243773
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,Dingo_Ancient_Curracurrang_D10,0.296641446761404,0.00649644175564775,45.6621421262672,0,5419
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,Dingo_Ancient_Curracurrang_D13,0.286050458519332,0.00213631625000218,133.898929298993,0,70117
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,Dingo_Ancient_Curracurrang_D16,0.348533548047812,0.00119034542670718,292.800342008245,0,458283
