target,source,right,pat,wt,dof,chisq,p,f4rank,Dingo_Ancient_Nullarbor,HighlandWildDog,Papua_Indonesia_518bp,feasible,best,dofdiff,chisqdiff,p_nested,weight_Dingo_Ancient_Nullarbor,weight_HighlandWildDog,weight_Papua_Indonesia_518bp,se_Dingo_Ancient_Nullarbor,se_HighlandWildDog,se_Papua_Indonesia_518bp,z_Dingo_Ancient_Nullarbor,z_HighlandWildDog,z_Papua_Indonesia_518bp,num_sources,num_right,all_above_3,sum_above_3,rank
Dingo_Alpine_Cooinda,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog,0,0,3,4.95800784014526,0.174897967463408,1,0.854608855960805,NA,0.145391144039195,TRUE,NA,NA,NA,NA,0.854608855960805,NA,0.145391144039195,0.0276930366679644,NA,0.0276930366679645,30.8600629901099,NA,5.25009755276801,2,5,TRUE,2,1
Dingo_Ancient_Curracurrang_D10,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog,0,0,3,1.39015179292162,0.707844820979144,1,0.847544054766612,NA,0.152455945233388,TRUE,NA,NA,NA,NA,0.847544054766612,NA,0.152455945233388,0.0518968857285673,NA,0.0518968857285673,16.3313085721456,NA,2.93767040339892,2,5,TRUE,2,1
Dingo_Ancient_Curracurrang_D13,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog,0,0,3,7.19113158168161,0.0660489439613375,1,0.682427122842476,NA,0.317572877157524,TRUE,NA,NA,NA,NA,0.682427122842476,NA,0.317572877157524,0.0344753789970689,NA,0.0344753789970689,19.7946227915434,NA,9.21158480040274,2,5,TRUE,2,1
Dingo_Ancient_Nullarbor_1227,Dingo_Ancient_Nullarbor,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog|Papua_Indonesia_518bp,0,0,5,13.3795757984992,0.0200698621015435,0,1,NA,NA,TRUE,NA,NA,NA,NA,1,NA,NA,2.4169562905148e-13,NA,NA,4137435186248.26,NA,NA,1,6,TRUE,1,1
Dingo_Ancient_Nullarbor_276,Dingo_Ancient_Nullarbor,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog|Papua_Indonesia_518bp,0,0,5,14.8402560035395,0.0110671577550684,0,1,NA,NA,TRUE,NA,NA,NA,NA,1,NA,NA,2.4169562905148e-13,NA,NA,4137435186248.26,NA,NA,1,6,TRUE,1,1
Dingo_Ancient_Nullarbor_615,Dingo_Ancient_Nullarbor,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog|Papua_Indonesia_518bp,0,0,5,10.0437958104749,0.0740037796459121,0,1,NA,NA,TRUE,NA,NA,NA,NA,1,NA,NA,2.4169562905148e-13,NA,NA,4137435186248.26,NA,NA,1,6,TRUE,1,1
Dingo_Ancient_Nullarbor_639,Dingo_Ancient_Nullarbor,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog|Papua_Indonesia_518bp,0,0,5,7.56479681096396,0.181907836289649,0,1,NA,NA,TRUE,NA,NA,NA,NA,1,NA,NA,2.4169562905148e-13,NA,NA,4137435186248.26,NA,NA,1,6,TRUE,1,1
Dingo_Desert_Sandy,Dingo_Ancient_Nullarbor,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog|Papua_Indonesia_518bp,0,0,5,11.7053690256454,0.0390557059694556,0,1,NA,NA,TRUE,NA,NA,NA,NA,1,NA,NA,1.27959643369217e-13,NA,NA,7814963950115,NA,NA,1,6,TRUE,1,1
Dingo_FraserIsland_D02,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog,0,0,3,6.23260667834328,0.100825811804643,1,0.792921211193148,NA,0.207078788806852,TRUE,NA,NA,NA,NA,0.792921211193148,NA,0.207078788806852,0.0306148458917002,NA,0.0306148458917001,25.899892294023,NA,6.76399905912941,2,5,TRUE,2,1
Dingo_FraserIsland_E56,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog,0,0,3,10.0532825687898,0.0181186018887935,1,0.785769590180018,NA,0.214230409819982,TRUE,NA,NA,NA,NA,0.785769590180018,NA,0.214230409819982,0.028632150734067,NA,0.0286321507340669,27.4436104181688,NA,7.48216268521831,2,5,TRUE,2,1
Dingo_FraserIsland_Y07,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog,0,0,3,6.50224003085174,0.0895742045585543,1,0.832644012176131,NA,0.167355987823869,TRUE,NA,NA,NA,NA,0.832644012176131,NA,0.167355987823869,0.0319182005750146,NA,0.0319182005750146,26.0868093180641,NA,5.24327765378085,2,5,TRUE,2,1
Dingo_FraserIsland_Y47,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog,0,0,3,10.8392108077666,0.0126278677240402,1,0.763507050711881,NA,0.236492949288119,TRUE,NA,NA,NA,NA,0.763507050711881,NA,0.236492949288119,0.0269967577029789,NA,0.0269967577029788,28.2814350935051,NA,8.76005007305097,2,5,TRUE,2,1
Dingo_Gibson_Desert_D08,Dingo_Ancient_Nullarbor,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog|Papua_Indonesia_518bp,0,0,5,7.76890766422575,0.169439878449452,0,1,NA,NA,TRUE,NA,NA,NA,NA,1,NA,NA,3.98105045979374e-13,NA,NA,2511899836737.59,NA,NA,1,6,TRUE,1,1
Dingo_Northern_Queensland_D04,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog,0,0,3,6.39641632016606,0.0938383322631248,1,0.776426493500896,NA,0.223573506499104,TRUE,NA,NA,NA,NA,0.776426493500896,NA,0.223573506499104,0.0279310695709841,NA,0.0279310695709841,27.7979506487456,NA,8.0044735104366,2,5,TRUE,2,1
Dingo_Northern_Queensland_D10,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog,0,0,3,5.126792753814,0.162744737286845,1,0.810128703214909,NA,0.189871296785091,TRUE,NA,NA,NA,NA,0.810128703214909,NA,0.189871296785091,0.0261262668332666,NA,0.0261262668332667,31.0082075018606,NA,7.26744842639851,2,5,TRUE,2,1
Dingo_Northern_Territory_D06,Dingo_Ancient_Nullarbor,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog|Papua_Indonesia_518bp,0,0,5,6.23945290887362,0.283611495371644,0,1,NA,NA,TRUE,NA,NA,NA,NA,1,NA,NA,3.19922809285856e-13,NA,NA,3125753997447.81,NA,NA,1,6,TRUE,1,1
Dingo_Simpson_Desert_D03,Dingo_Ancient_Nullarbor,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog|Papua_Indonesia_518bp,0,0,5,14.2681626168681,0.0139928117442927,0,1,NA,NA,TRUE,NA,NA,NA,NA,1,NA,NA,1.38625232843198e-13,NA,NA,7213693924908.5,NA,NA,1,6,TRUE,1,1
